tema,sentimiento,texto,tipo
navidad,3,wiwishu a meri crismas wiwishu a meri crismas an a hapy neu yer,comentario
navidad,3,FELÍZ NAVIDAAAAAD,comentario
navidad,3,que me darás de navidad?,pregunta
navidad,3,Es un día especial,comentario
navidad,3,Alguien invadió mi pinito ,comentario
navidad,3,Ya me vi en unos dias asi. A desempolvar las luces y a motivar,comentario
navidad,3,"Me dieron esta cesta de Navidad en el trabajo y naweboná me van a salir llagas en la boca porque yo nunca he comido tales DELICATESES, yo pura mortadela con pan ksksjrlsrkkddk",comentario
navidad,3,"Celebra la navidad en familia , sigue el ejemplo de nuestro querido NOBEL de Paz ... no guardes rencor en tu corazón.",comentario
navidad,3,¡Estoy lista para este repertorio de navidad!,comentario
navidad,3,"Listo, ahora solo me falta el tiempo",comentario
navidad,3,"Así es la vida, pero las opciones ya las tienes. ",comentario
navidad,3,Veras las peliculas y series navideñas más de una vez?,pregunta
navidad,3,"sin mi ""pobre angelito"" nada tiene sentido :c",comentario
navidad,3,"Ya no hay lugar para la frase: ""Ni tingui nidi qui vir"".",comentario
navidad,3,Que No está mi pobre angelito ? ,pregunta
navidad,3,¿Y Mi Pobre Angelito?,pregunta
navidad,3,"Si no hay Home Alone 1 y 2, no hay Navidad.",comentario
navidad,3,Modo Navidad activado,comentario
navidad,3,MI POBRE ANGELITO DONDE ESTA ????,pregunta
navidad,3,De verdad odias la navidad?,pregunta
navidad,3,"Si no está Mi Pobre Angelito, no existe navidad. Chau",comentario
navidad,3,Pongan las de mi pobre angelito,comentario
navidad,3,Pooorrrr finnn,comentario
navidad,3,"¡Llegó Diciembre y la Navidad! Y lo comenzamos con alegría, junto a nuestra juventud",comentario
viaje,3,"Bueno, a desayunar en Cancún para proseguir el viaje",comentario
viaje,3,"Que DIOS bendiga tu camino, que llegues con bien y de regreso también.",comentario
viaje,3,Feliz viaje ,comentario
viaje,3,"Muy buen camino, de ida y de regreso.",comentario
viaje,3,Feliz y bendecido viaje,comentario
viaje,3,"A donde quiera que sea tu destino, toma mi estrella para que te sirva de buena guía; (la que más brilla, esa es)",comentario
viaje,3,"Jajajaja buen viaje y mejor regreso, cuídate y disfruta mucho la estancia a dónde vayas",comentario
viaje,3,"Excelente viaje, que a dónde vayas y realices en tu viaje salga mejor de lo que piensas, que regreses con bien, satisfecha y agradecida... Se te desea lo mejor en tu viaje!",comentario
viaje,3,Tengas un excelente viaje y cuídate mucho !!,comentario
viaje,3,Buen viaje! Distancia y cubrebocas!,comentario
viaje,3,Excelente viaje,comentario
viaje,3,"Buen viaje y a seguir cuidándose, aquí te esperamos de regreso...",comentario
viaje,3,Que tengas un excelente viaje y que llegues con bien a tu destino,comentario
viaje,3,Buen viaje y si ya llegaste a tu destino que disfrutes de tu estadía ,comentario
viaje,3,Feliz viaje y mejor retorno!!!,comentario
viaje,3,"Oye, qué maravilla! Disfruta cada segundo Cuídate mucho.
Abrazo fuerte.",comentario
viaje,3,Buen viaje....!,comentario
viaje,3,"Donde quiera que vayas, que tu viaje sea feliz.",comentario
viaje,3,"Dios te bendiga amiga querida, tqm!!",comentario
viaje,3,Diviértete mucho,comentario
viaje,3,"Exitos hermosa, que Dios te bendiga en tus senderos.",comentario
viaje,3,Que tengas un excelente viaje. Saludos y un fuerte abrazo.,comentario
viaje,3,Buen viaje  a donde quiera que vayas y regresa con bien. Hasta pronto.,comentario
viaje,3,¡Buen viaje chingao! Saludos y que te vaya bonito,comentario
viaje,3,Que el todo poderoso ilumine tu camino y te colme de bendiciones en tu andar .,comentario
viaje,3,Que te vaya súper bien ,comentario
viaje,3,"Buen viaje, a donde sea que vayas.",comentario
viaje,3,cuídese y buen viaje,comentario
viaje,3,Yuuuuujuuuuuuuuuu feliz viaje,comentario
viaje,3,Este es el lugar más bonito que conozco,comentario
viaje,3,No tengo ningún lugar favorito. Jamás he salido de Venezuela. Cuando salga a pasear te aviso. Jeje.,comentario
viaje,3,Madrid me encanta para terminar el tour por Europa y comprar ropa en el Primark de la Gran Via,comentario
viaje,3,"Playa del Carmen me encanta! en realidad todo destino que tenga playa y mar me encanta, pero Playa del Carmen, me cautivo!",comentario
viaje,3,Canadá. Y por fin el próximo año voy a conocerlo,comentario
viaje,3,Los atardeceres desde Café del Mar son los mejores de Cartagena,comentario
viaje,3,Cayo de agua en el maravilloso archipealago de los roques VENEZUELA,comentario
viaje,3,"Aaaah qué difícil es esto, pero creo que elegiría Chamonix, aunque es un pueblito pequeño todo él parece una postal y ahí se encuentra Mont Blanc",comentario
viaje,3,Mazunte. No es el único pero si está en mi top.,comentario
viaje,3,"Eso es iztapalapa amigo, a mi no me mientes!",comentario
viaje,3,"No he ido, pero muero por conocer Sri Lanka - India. ",comentario
viaje,3,"Es un cliché, pero amo París",comentario
viaje,3,los pueblos mágicos de Mexico ,comentario
viaje,3,"Cuál es el mejor lugar en el que Usted ha estado de viaje? Se vale el que sea, lo que importa es el mejor recuerdo que tenga de un lugar!",comentario
viaje,3,Dónde mi tía. Mi mamá me mandaba dónde ella de vacacionee. Mi tía vivía enseguida de la casa de mi mamá,comentario
viaje,3,Que belleza! Jajajajaja,comentario
viaje,3,Cuando fuí a Berlín a un torneo de fútbol y ese fin de semana las murallas de Berlín fueron tumbadas. Algo histórico que pude presenciarlo.,comentario
viaje,3,"Sintra, en Portugal. Es una joya.",comentario
viaje,3,"Para no ir muy lejos y andar de presumido,  viajar por Colombia es lo mejor y el mejor lugar, los llanos Orientales.. lindos amaneceres",comentario
viaje,3,"Colombia tiene sitios hermosos, todo Boyacá por donde se mire, cualquier pueblo que visites te deja encantado. El Eje Cafetero, Los Llanos, San Andres y Providencia, La Guajira, Santa Marta, Cartagena, y mi hermoso Tolima! Colombia es muy linda!!!",comentario
viaje,3,"Machupichu, es mágico, el mejor lugar al que he podido visitar, se los recomiendo y no es caro. Saludos",comentario
viaje,3,"Playa Blanca - Isla Barú, antes de ser un lugar turístico.",comentario
viaje,3,Playas de Santa Mónica en California.,comentario
viaje,3,"Los Roques Venezuela, Archipiélago San Blas panamá,Quito Ecuador ,la Gran Sabana Venezuela
Los Roques Venezuela, Archipiélago San Blas panamá,Quito Ecuador ,la Gran Sabana Venezuela
",comentario
viaje,3,"España, era mi sueño desde niña y el año pasado una de mis hijas me llevó.",comentario
viaje,3,Egipto... es indescriptible,comentario
viaje,3,Me gustó muchísimo Sharm el sheikh,comentario
viaje,3,"El cabo de la Vela en la Guajira es de los más bonitos, y el de mejores recuerdos y por su vista, la finca de mi abuela en la vereda el porvenir de Viterbo Caldas, la vista del valle del río Risaralda es espectacular",comentario
viaje,3,Estoy de acuerdo con Mario El Cabo de La Vela es un espectáculo!!! Playas hermosas!!,comentario
viaje,3,Es cierto el Eje Cafetero por donde uno pase encuentra hermosos paisajes y sus fincas de construcciones admirables,comentario
viaje,3,Las cataratas del Niagara del lado del Canada!,comentario
viaje,3,Hermosas las Cataratas!!!,comentario
viaje,3,Muchos pero diría Villa de Leyva y Panamá,comentario
viaje,3,"El sitio mas lindo de Colombia, es mi Quindio del alma....verde por naturaleza y gente amable por raza..los espero... Saludos",comentario
viaje,3,El valle del cocora muy bacano!!!,comentario
viaje,3,"Trabajo con turismo y es difícil decir cual sitio me ha gustado mas, pues todas las culturas y lugares tienen su magia. Cuba para mi es hermosa, Punta Cana y Barcelona. En nuestro país San Andrés, Santa Marta, Capurgana, Bahía Solano, Boyacá, Santander.",comentario
viaje,3,"Cafayate, Argentina",comentario
viaje,3,"Y las playas de Venezuela!!!
Los Roques",comentario
viaje,3,De acuerdo!!! De las playas más hermosas!!!,comentario
viaje,3,"San Andrés, siempre será mi lugar favorito de ir de vacaciones, he ido a otras playas pero como San Andrés y su gente no hay otra. Amo ese lugar.",comentario
viaje,3,"Roma y Venecia Bandera de Italia y Mykonos y Atenas Bandera de Grecia Lugares que me gustaron. Mezcla de historia, cultura y belleza.",comentario
viaje,3,Si Florencia (Italia)es hermoso!!,comentario
viaje,3,"Me encanta, el corregimiento la Vega Arriba, rio Badillo, antes de Patillal, camino a la Sierra Nevada. 
Paisaje espectacular.
Aguas frías bajan de sierra.
Agua limpia y llena de peces…",comentario
viaje,3,"El mejor lugar, Santander España",comentario
viaje,3,"El mejor recuerdo, en París",comentario
viaje,3,"Santander es delicioso, en especial sus playas",comentario
viaje,3,El Mar de Cortéz.,comentario
viaje,3,Cabo San Juan del Guía. Los mejores recuerdos.,comentario
viaje,3,El mejor viaje... el 28 de diciembre a NY... que viaje tan espectacular en esta fecha!!!,comentario
viaje,3,Es bonita también,comentario
viaje,3,"Difícil uno solo. Le diría cinco que me gustaron por igual (aunque sean bastante clichés): Budapest, Praga, Brujas, París y Gante.",comentario
viaje,3,"Coincido en la dificultad de elegir uno solo, pero sin duda elegiría a Washington D.C !",comentario
viaje,3,"Roma, New York y Paris",comentario
viaje,3,"Roma y New York también, pero cómo decía ",comentario
viaje,3,San Andrés y Providencia tienen un mar hermoso... aguas cristalinas,comentario
viaje,3,San Andrés.. amo ésa isla,comentario
viaje,3,"De Colombia el Valle de Cocora, de afuera San Francisco Ciudad espectacular.",comentario
viaje,3,Estoy de acuerdo San Francisco es muy hermoso!!!,comentario
viaje,3,Vancouver y chicago en verano,comentario
viaje,3,"No conozco, pero si usted dice que es el mejor lugar, es porque es el mejor lugar",comentario
viaje,3,"Xcaret, mi mamá y mi hermana estaban tan felices pasamos un día increíble ",comentario
viaje,3,"Fantástico lugar, estuve dos veces allí. San Sebastián de Rabago",comentario
viaje,3,Zion National Park en Utah! Todo un paraíso escondido entre las rocas!,comentario
viaje,3,"Carnaval de Río , si no conocen a Brasil mejor no opinen , jejeje",comentario
viaje,3,"Lo conozco, pero me gusta más el revellon",comentario
viaje,3,"Palm Beach, Florida. Organización, respecto a las normas, belleza, limpieza, clima y prosperidad por donde camines.",comentario
viaje,3,Pam Beach es hermoso!,comentario
viaje,3,Paris uff,comentario
viaje,-2,El parque Tayrona... cuando era un lugar tranquilo.,comentario
viaje,3,"Reserva de la Biosfera Naha Metzabok en Chiapas. La mejor atención e instalaciones en un lugar precioso; todo administrado por los dueños, la gente Maya.",comentario
saludo,3,hola soy nuevo,comentario
comida,3,Qui comiste hoy?,pregunta
viaje,3,Ha donde has viajado?,pregunta
viaje,3,te gustan los viajes?,pregunta
comida,3,Cual es tu comida favorita?,pregunta
